#random sampling: 50735
Gene	SCBI_002-M-20140915-comp-contigs	DSNY_016-M-20131114-comp-contigs	BART_004-O-20140619-comp-contigs	OSBS_022-M-20140917-comp-contigs	WOOD_001-M-20140925-comp-contigs
NR	143	157	134	157	157
amoA_A	19	22	17	40  23
amoA_B	27	30	35	36	25
amoB_A	2	1	1	0	4
amoB_B	1	3	4	1	4
amoC_A	0	1	0	0	3
amoC_B	2	2	1	1	0
anfG	1	1	0	2	1
ansB	136	119	108	118	112
asnB	1137	1240	1275	1168	1086
gdh_K00260	15	33	30	25	25
gdh_K00261	271	301	296	283	240
gdh_K00262	158	146	153	146	150
gdh_K15371	1646	1647	1680	1644	1571
glnA	1417	1441	1470	1542	1489
glsA	566	651	637	599	627
gs_K00264	218	200	200	207	167
gs_K00265	1187	995	996	1124	1045
gs_K00266	448	485	434	446	374
gs_K00284	195	203	228	179	211
hao	11	20	12	20	11
hcp	174	180	177	194	169
hdh	0	1	0	0	2
hzo	3	7	6	2	3
hzsA	3	6	2	2	3
hzsB	1	0	3	4	1
hzsC	1	1	3	1	0
nao	99	78	87	71	74
napA	116	156	144	126	152
napB	43	35	39	37	29
napC	27	53	37	37	32
narB	1119	938	931	1045	990
narC	23	23	17	21	34
narG	962	693	638	789	881
narH	187	144	130	173	177
narI	200	197	151	188	207
narJ	240	209	218	206	208
narV	4	3	4	5	2
narW	8	4	3	5	5
narY	92	92	104	111	100
narZ	164	181	180	155	179
nasA	1148	1092	950	1074	1018
nasB	389	270	263	282	274
nifD	93	106	105	82	85
nifH	293	264	246	260	269
nifK	56	68	50	59	63
nifW	22	26	27	17	26
nirA	279	241	258	274	249
nirB	642	708	637	705	636
nirD	229	191	179	185	217
nirK	709	634	564	661	636
nirS	286	276	295	260	306
nmo	1093	1134	1122	1144	1020
norB	222	204	220	267	229
norC	15	18	23	20	21
nosZ	305	304	277	276	345
nrfA	69	60	63	52	57
nrfB	13	17	6	12	8
nrfC	90	125	117	91	81
nrfD	19	18	20	24	30
nxrA	2	3	2	3	1
nxrB	2	2	1	1	1
pmoA	31	37	37	39	42
pmoB	8	5	8	5	5
pmoC	2	6	4	9	6
ureA	69	67	73	108	78
ureB	166	158	151	164	159
ureC	636	493	529	539	560

